source,target,weight,x,u,tau_F,tau_D
1,5472,17.04255965118713,1.0,0.19,1500.0,200.0
1,7752,17.04255965118713,1.0,0.19,1500.0,200.0
1,2184,17.04255965118713,1.0,0.19,1500.0,200.0
1,6128,17.04255965118713,1.0,0.19,1500.0,200.0
1,5512,17.04255965118713,1.0,0.19,1500.0,200.0
1,3832,17.04255965118713,1.0,0.19,1500.0,200.0
1,5504,17.04255965118713,1.0,0.19,1500.0,200.0
1,1440,17.04255965118713,1.0,0.19,1500.0,200.0
1,984,17.04255965118713,1.0,0.19,1500.0,200.0
1,40,76.69151843034209,1.0,0.19,1500.0,200.0
1,1640,17.04255965118713,1.0,0.19,1500.0,200.0
1,424,76.69151843034209,1.0,0.19,1500.0,200.0
1,1384,17.04255965118713,1.0,0.19,1500.0,200.0
1,1960,17.04255965118713,1.0,0.19,1500.0,200.0
1,592,76.69151843034209,1.0,0.19,1500.0,200.0
1,6632,17.04255965118713,1.0,0.19,1500.0,200.0
1,2304,17.04255965118713,1.0,0.19,1500.0,200.0
1,1304,17.04255965118713,1.0,0.19,1500.0,200.0
1,4144,17.04255965118713,1.0,0.19,1500.0,200.0
1,5024,17.04255965118713,1.0,0.19,1500.0,200.0
1,4904,17.04255965118713,1.0,0.19,1500.0,200.0
1,3520,17.04255965118713,1.0,0.19,1500.0,200.0
1,3912,17.04255965118713,1.0,0.19,1500.0,200.0
1,4696,17.04255965118713,1.0,0.19,1500.0,200.0
1,120,76.69151843034209,1.0,0.19,1500.0,200.0
1,1088,17.04255965118713,1.0,0.19,1500.0,200.0
1,1224,17.04255965118713,1.0,0.19,1500.0,200.0
1,2104,17.04255965118713,1.0,0.19,1500.0,200.0
1,7032,17.04255965118713,1.0,0.19,1500.0,200.0
1,2864,17.04255965118713,1.0,0.19,1500.0,200.0
1,544,76.69151843034209,1.0,0.19,1500.0,200.0
1,7592,17.04255965118713,1.0,0.19,1500.0,200.0
1,5384,17.04255965118713,1.0,0.19,1500.0,200.0
1,7856,17.04255965118713,1.0,0.19,1500.0,200.0
1,3040,17.04255965118713,1.0,0.19,1500.0,200.0
1,1168,17.04255965118713,1.0,0.19,1500.0,200.0
1,1528,17.04255965118713,1.0,0.19,1500.0,200.0
1,5064,17.04255965118713,1.0,0.19,1500.0,200.0
1,184,76.69151843034209,1.0,0.19,1500.0,200.0
1,3688,17.04255965118713,1.0,0.19,1500.0,200.0
1,6624,17.04255965118713,1.0,0.19,1500.0,200.0
1,880,17.04255965118713,1.0,0.19,1500.0,200.0
1,4504,17.04255965118713,1.0,0.19,1500.0,200.0
1,248,76.69151843034209,1.0,0.19,1500.0,200.0
1,4976,17.04255965118713,1.0,0.19,1500.0,200.0
1,752,76.69151843034209,1.0,0.19,1500.0,200.0
1,4576,17.04255965118713,1.0,0.19,1500.0,200.0
1,3864,17.04255965118713,1.0,0.19,1500.0,200.0
1,6304,17.04255965118713,1.0,0.19,1500.0,200.0
1,672,76.69151843034209,1.0,0.19,1500.0,200.0
1,7896,17.04255965118713,1.0,0.19,1500.0,200.0
1,5600,17.04255965118713,1.0,0.19,1500.0,200.0
1,4616,17.04255965118713,1.0,0.19,1500.0,200.0
1,7576,17.04255965118713,1.0,0.19,1500.0,200.0
1,5984,17.04255965118713,1.0,0.19,1500.0,200.0
1,6568,17.04255965118713,1.0,0.19,1500.0,200.0
1,3584,17.04255965118713,1.0,0.19,1500.0,200.0
1,2960,17.04255965118713,1.0,0.19,1500.0,200.0
1,3824,17.04255965118713,1.0,0.19,1500.0,200.0
1,2440,17.04255965118713,1.0,0.19,1500.0,200.0
1,2456,17.04255965118713,1.0,0.19,1500.0,200.0
1,768,76.69151843034209,1.0,0.19,1500.0,200.0
1,3904,17.04255965118713,1.0,0.19,1500.0,200.0
1,7656,17.04255965118713,1.0,0.19,1500.0,200.0
1,2296,17.04255965118713,1.0,0.19,1500.0,200.0
1,2216,17.04255965118713,1.0,0.19,1500.0,200.0
1,688,76.69151843034209,1.0,0.19,1500.0,200.0
1,6224,17.04255965118713,1.0,0.19,1500.0,200.0
1,4936,17.04255965118713,1.0,0.19,1500.0,200.0
1,7304,17.04255965118713,1.0,0.19,1500.0,200.0
1,7792,17.04255965118713,1.0,0.19,1500.0,200.0
1,2760,17.04255965118713,1.0,0.19,1500.0,200.0
1,3616,17.04255965118713,1.0,0.19,1500.0,200.0
1,7624,17.04255965118713,1.0,0.19,1500.0,200.0
1,6944,17.04255965118713,1.0,0.19,1500.0,200.0
1,5176,17.04255965118713,1.0,0.19,1500.0,200.0
1,4560,17.04255965118713,1.0,0.19,1500.0,200.0
1,1816,17.04255965118713,1.0,0.19,1500.0,200.0
1,4896,17.04255965118713,1.0,0.19,1500.0,200.0
1,6536,17.04255965118713,1.0,0.19,1500.0,200.0
1,5608,17.04255965118713,1.0,0.19,1500.0,200.0
1,448,76.69151843034209,1.0,0.19,1500.0,200.0
1,3328,17.04255965118713,1.0,0.19,1500.0,200.0
1,3696,17.04255965118713,1.0,0.19,1500.0,200.0
1,4440,17.04255965118713,1.0,0.19,1500.0,200.0
1,1240,17.04255965118713,1.0,0.19,1500.0,200.0
1,2376,17.04255965118713,1.0,0.19,1500.0,200.0
1,3496,17.04255965118713,1.0,0.19,1500.0,200.0
1,5336,17.04255965118713,1.0,0.19,1500.0,200.0
1,2392,17.04255965118713,1.0,0.19,1500.0,200.0
1,2128,17.04255965118713,1.0,0.19,1500.0,200.0
1,6744,17.04255965118713,1.0,0.19,1500.0,200.0
1,640,76.69151843034209,1.0,0.19,1500.0,200.0
1,2240,17.04255965118713,1.0,0.19,1500.0,200.0
1,4416,17.04255965118713,1.0,0.19,1500.0,200.0
1,1208,17.04255965118713,1.0,0.19,1500.0,200.0
1,1656,17.04255965118713,1.0,0.19,1500.0,200.0
1,7088,17.04255965118713,1.0,0.19,1500.0,200.0
1,2488,17.04255965118713,1.0,0.19,1500.0,200.0
1,2336,17.04255965118713,1.0,0.19,1500.0,200.0
1,6656,17.04255965118713,1.0,0.19,1500.0,200.0
1,7216,17.04255965118713,1.0,0.19,1500.0,200.0
1,1728,17.04255965118713,1.0,0.19,1500.0,200.0
1,2288,17.04255965118713,1.0,0.19,1500.0,200.0
1,3736,17.04255965118713,1.0,0.19,1500.0,200.0
1,176,76.69151843034209,1.0,0.19,1500.0,200.0
1,6328,17.04255965118713,1.0,0.19,1500.0,200.0
1,6368,17.04255965118713,1.0,0.19,1500.0,200.0
1,1616,17.04255965118713,1.0,0.19,1500.0,200.0
1,928,17.04255965118713,1.0,0.19,1500.0,200.0
1,888,17.04255965118713,1.0,0.19,1500.0,200.0
1,3168,17.04255965118713,1.0,0.19,1500.0,200.0
1,808,17.04255965118713,1.0,0.19,1500.0,200.0
1,3408,17.04255965118713,1.0,0.19,1500.0,200.0
1,4808,17.04255965118713,1.0,0.19,1500.0,200.0
1,4008,17.04255965118713,1.0,0.19,1500.0,200.0
1,7376,17.04255965118713,1.0,0.19,1500.0,200.0
1,3776,17.04255965118713,1.0,0.19,1500.0,200.0
1,6336,17.04255965118713,1.0,0.19,1500.0,200.0
1,6488,17.04255965118713,1.0,0.19,1500.0,200.0
1,2608,17.04255965118713,1.0,0.19,1500.0,200.0
1,6816,17.04255965118713,1.0,0.19,1500.0,200.0
1,4608,17.04255965118713,1.0,0.19,1500.0,200.0
1,5856,17.04255965118713,1.0,0.19,1500.0,200.0
1,5208,17.04255965118713,1.0,0.19,1500.0,200.0
1,7296,17.04255965118713,1.0,0.19,1500.0,200.0
1,4848,17.04255965118713,1.0,0.19,1500.0,200.0
1,6296,17.04255965118713,1.0,0.19,1500.0,200.0
1,4448,17.04255965118713,1.0,0.19,1500.0,200.0
1,7336,17.04255965118713,1.0,0.19,1500.0,200.0
1,2408,17.04255965118713,1.0,0.19,1500.0,200.0
1,568,76.69151843034209,1.0,0.19,1500.0,200.0
1,2768,17.04255965118713,1.0,0.19,1500.0,200.0
1,5048,17.04255965118713,1.0,0.19,1500.0,200.0
1,792,76.69151843034209,1.0,0.19,1500.0,200.0
1,4720,17.04255965118713,1.0,0.19,1500.0,200.0
1,3816,17.04255965118713,1.0,0.19,1500.0,200.0
1,3488,17.04255965118713,1.0,0.19,1500.0,200.0
1,4488,17.04255965118713,1.0,0.19,1500.0,200.0
1,680,76.69151843034209,1.0,0.19,1500.0,200.0
1,6496,17.04255965118713,1.0,0.19,1500.0,200.0
1,5528,17.04255965118713,1.0,0.19,1500.0,200.0
1,3048,17.04255965118713,1.0,0.19,1500.0,200.0
1,7904,17.04255965118713,1.0,0.19,1500.0,200.0
1,3896,17.04255965118713,1.0,0.19,1500.0,200.0
1,7416,17.04255965118713,1.0,0.19,1500.0,200.0
1,3936,17.04255965118713,1.0,0.19,1500.0,200.0
1,7984,17.04255965118713,1.0,0.19,1500.0,200.0
1,1096,17.04255965118713,1.0,0.19,1500.0,200.0
1,5584,17.04255965118713,1.0,0.19,1500.0,200.0
2,520,76.69151843034209,1.0,0.19,1500.0,200.0
