time,source,target,x,u,t_last_spike
190.0,1130,3730,1.0,0.19,-1.0
190.0,1131,5817,0.6561,0.3439,101.05
190.0,1132,2201,1.0,0.19,-1.0
190.0,1133,4215,1.0,0.19,-1.0
190.0,1134,6920,0.6561,0.3439,71.4
190.0,1135,5436,1.0,0.19,-1.0
190.0,1136,3921,1.0,0.19,-1.0
190.0,1137,1373,1.0,0.19,-1.0
190.0,1138,132,1.0,0.19,-1.0
190.0,1139,5145,1.0,0.19,-1.0
190.0,1140,6891,1.0,0.19,-1.0
190.0,1141,1889,1.0,0.19,-1.0
190.0,1142,5289,1.0,0.19,-1.0
190.0,1143,5379,1.0,0.19,-1.0
190.0,1144,1228,1.0,0.19,-1.0
190.0,1145,6198,1.0,0.19,-1.0
190.0,1146,1647,1.0,0.19,-1.0
190.0,1147,7576,1.0,0.19,-1.0
190.0,1148,6906,1.0,0.19,-1.0
190.0,1149,1536,0.6561,0.3439,88.05
190.0,1150,38,1.0,0.19,-1.0
190.0,1151,3445,1.0,0.19,-1.0
190.0,1152,2679,1.0,0.19,-1.0
190.0,1153,1000,1.0,0.19,-1.0
190.0,1154,2736,1.0,0.19,-1.0
190.0,1155,2805,1.0,0.19,-1.0
190.0,1156,2092,1.0,0.19,-1.0
190.0,1157,678,1.0,0.19,-1.0
190.0,1158,3788,0.6561,0.3439,43.15
190.0,1159,3481,1.0,0.19,-1.0
190.0,1160,1733,1.0,0.19,-1.0
190.0,1161,2165,1.0,0.19,-1.0
190.0,1162,1285,1.0,0.19,-1.0
190.0,1163,7892,1.0,0.19,-1.0
190.0,1164,5081,1.0,0.19,-1.0
190.0,1165,4895,1.0,0.19,-1.0
190.0,1166,4808,1.0,0.19,-1.0
190.0,1167,3135,1.0,0.19,-1.0
190.0,1168,5208,1.0,0.19,-1.0
190.0,1169,5951,1.0,0.19,-1.0
190.0,1170,5390,1.0,0.19,-1.0
190.0,1171,6596,1.0,0.19,-1.0
190.0,1172,2808,1.0,0.19,-1.0
190.0,1173,5086,1.0,0.19,-1.0
190.0,1174,2257,1.0,0.19,-1.0
190.0,1175,2617,1.0,0.19,-1.0
190.0,1176,5943,1.0,0.19,-1.0
190.0,1177,7336,0.6561,0.3439,57.25
190.0,1178,1226,1.0,0.19,-1.0
190.0,1179,5154,1.0,0.19,-1.0
190.0,1180,7068,1.0,0.19,-1.0
190.0,1181,5712,1.0,0.19,-1.0
190.0,1182,6800,1.0,0.19,-1.0
190.0,1183,5209,0.6561,0.3439,21.7
190.0,1184,3549,1.0,0.19,-1.0
190.0,1185,5232,1.0,0.19,-1.0
190.0,1186,7069,0.6561,0.3439,123.95
190.0,1187,5326,1.0,0.19,-1.0
190.0,1188,2870,1.0,0.19,-1.0
190.0,1189,4238,1.0,0.19,-1.0
190.0,1190,7518,1.0,0.19,-1.0
190.0,1191,7277,1.0,0.19,-1.0
190.0,1192,5572,1.0,0.19,-1.0
190.0,1193,5585,1.0,0.19,-1.0
190.0,1194,2545,1.0,0.19,-1.0
190.0,1195,5867,1.0,0.19,-1.0
190.0,1196,5838,1.0,0.19,-1.0
190.0,1197,1462,1.0,0.19,-1.0
190.0,1198,2032,0.6561,0.3439,185.20000000000002
190.0,1199,6345,1.0,0.19,-1.0
190.0,1200,1080,0.6561,0.3439,78.95
190.0,1201,5040,1.0,0.19,-1.0
190.0,1202,3895,1.0,0.19,-1.0
190.0,1203,6784,1.0,0.19,-1.0
190.0,1204,3126,1.0,0.19,-1.0
190.0,1205,5520,1.0,0.19,-1.0
190.0,1206,4586,1.0,0.19,-1.0
190.0,1207,3385,1.0,0.19,-1.0
190.0,1208,4815,1.0,0.19,-1.0
190.0,1209,4493,0.6561,0.3439,91.75
190.0,1210,2214,1.0,0.19,-1.0
190.0,1211,4871,1.0,0.19,-1.0
190.0,1212,3974,1.0,0.19,-1.0
190.0,1213,5122,1.0,0.19,-1.0
190.0,1214,5996,1.0,0.19,-1.0
190.0,1215,6938,1.0,0.19,-1.0
190.0,1216,6336,1.0,0.19,-1.0
190.0,1217,968,1.0,0.19,-1.0
190.0,1218,7305,0.6561,0.3439,75.25
190.0,1219,7468,1.0,0.19,-1.0
